Name,Position,School,Division,Type,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Games Started (GS),Innings Pitched (IP),Wins (W),Losses (L),Earned Runs (ER),Hits Allowed (H),Walks Allowed (BB),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Connor Irvine,RHP,Lassen College,California CC,A,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,8,44.2,3,3,10,42,12,2.01,0,54
Connor O'Halloran,LHP,University of Michigan,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,7,7,30.2,2,2,14,26,12,4.11,0,40
Connor Theal,RHP,St. Louis,JUCO: Division 1,A,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,0,16.2,1,0,7,13,12,3.78,0,18
Cooper Crompton,RHP,Iowa Western,JUCO: Division 1,A,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,6.1,0,0,2,2,7,2.84,0,7
Cooper Tomkinson,IF,Dodge City,JUCO: Division 1,A,7,10,4,1,0,0,0,2,0,0.1,0.333,0.1,0.433,0,0,0.0,0,0,0,0,0,0.0,0,0
Corben Peters,RHP,Grambling State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,7,1,9.1,0,2,12,14,8,11.57,0,15
Core Jackson,INF,"University of Nebraska, Lincoln",NCAA: Division 1,H,18,50,7,10,4,1,1,10,1,0.2,0.255,0.38,0.635,0,0,,0,0,0,0,0,,0,0
Cory Field,RHP,Mohawk Valley,JUCO: Division 3,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,5.0,0,1,6,7,2,10.8,1,5
Craig Oliver,IF,D'Youville College,NCAA: Division 2,H,10,23,3,3,0,0,0,2,0,0.13,0.344,0.13,0.474,0,0,,0,0,0,0,0,,0,0
Cristian Forgione,C/IN,St. Lawrence University,NCAA: Division 3,H,12,34,10,9,1,0,1,7,0,0.265,0.419,0.382,0.801,0,0,,0,0,0,0,0,,0,0
Cristian Santarelli,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Daniel Carinci,INF,Marshall University,NCAA: Division 1,H,21,81,11,19,5,0,2,11,2,0.235,0.289,0.37,0.659,0,0,,0,0,0,0,0,,0,0
Daniel Freeman,OF,Cornerstone University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Daniel Gernon,OF,Lower Columbia,NW Athletic Conference,A,20,66,19,20,3,3,1,15,4,0.303,0.427,0.485,0.912,0,0,0.0,0,0,0,0,0,0.0,0,0
Daniel Lichty,3B,Huntington University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Daniel Martin,OF,University of New Mexico,NCAA: Division 1,H,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,,0,0
Daniel Mercandelli,RHP,Lake Region State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Daniel Warkentin,IF,Eastern Michigan University,NCAA: Division 1,H,13,47,19,18,3,0,6,17,2,0.383,0.464,0.83,1.294,0,0,,0,0,0,0,0,,0,0
Danny Donnelly,OF,Tiffin University,NCAA: Division 2,H,15,32,5,4,2,0,0,2,1,0.125,0.263,0.188,0.451,0,0,,0,0,0,0,0,,0,0
Darius Armorer,RHP/OF,Three Rivers,JUCO: Division 1,A,10,14,6,3,1,0,0,5,1,0.214,0.267,0.286,0.553,5,0,10.0,0,0,11,9,11,9.9,0,4
Darius Opdem Bak,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
David Coleman,OF,High Point University,NCAA: Division 1,H,7,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
David Draayers,INF,Northeastern,JUCO: Division 1,A,28,78,19,26,4,0,3,15,3,0.333,0.429,0.5,0.929,0,0,0.0,0,0,0,0,0,0.0,0,0
David McCabe,INF,"University of North Carolina, Charlotte",NCAA: Division 1,H,14,46,16,21,4,0,4,15,3,0.457,0.615,0.804,1.419,0,0,,0,0,0,0,0,,0,0
David Mendham,INF/C,Oklahoma State University,NCAA: Division 1,H,21,61,8,17,7,0,2,17,0,0.279,0.413,0.492,0.905,0,0,,0,0,0,0,0,,0,0
Davis Fenske,RHP,Pratt,JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3.1,0,0,5,3,2,13.5,0,2
Davis McMillan,OF,Houghton College,NCAA: Division 3,H,14,38,5,9,2,0,0,2,3,0.237,0.326,0.289,0.615,0,0,,0,0,0,0,0,,0,0
Dawson Hurford,RHP,Western Nebraska,JUCO: Division 1,A,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,6,31.0,1,3,10,40,8,2.9,0,24
Dawson Neal,C/1B,Missouri Valley College,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Dawson Steele,INF,Lake Region State,JUCO: Division 2,A,10,24,6,5,1,0,0,1,0,0.208,0.345,0.25,0.595,0,0,0.0,0,0,0,0,0,0.0,0,0
Dawson Tanner,"IF,RHP",South Suburban,JUCO: Division 1,A,13,43,20,18,4,1,1,12,0,0.419,0.567,0.628,1.195,1,1,3.0,1,0,0,1,1,0.0,0,7
Dawson Tweet,2B/OF/C,Mesabi Range,JUCO: Division 3,A,12,40,9,20,8,2,0,7,1,0.5,0.596,0.8,1.396,0,0,0.0,0,0,0,0,0,0.0,0,0
Deagen Morcom,OF,McCook,JUCO: Division 1,A,8,16,4,3,1,1,0,2,0,0.188,0.263,0.375,0.638,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Declan Buckle,MIF,Minot State University,NCAA: Division 2,H,18,64,13,19,4,0,2,9,6,0.297,0.384,0.453,0.837,0,0,,0,0,0,0,0,,0,0
Derek Palmiere,RHP,Williston State,JUCO: Division 2,A,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,15.0,2,0,9,13,13,5.4,0,19
Deric LaMontagne,INF,Lamar University,NCAA: Division 1,H,15,30,5,8,2,2,0,7,0,0.267,0.389,0.467,0.856,0,0,,0,0,0,0,0,,0,0
Devon Farrell,IF,Rockhurst University,NCAA: Division 2,H,18,37,9,12,3,0,0,4,0,0.324,0.447,0.405,0.852,0,0,,0,0,0,0,0,,0,0
Diego Dominguez,RHP,Dodge City,JUCO: Division 1,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,1,19.1,2,1,15,13,16,6.98,0,27
Dion Wintjes,C,Marian University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Dominic Teoli,RHP,Eastern Florida State,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Dondrae Bremner,INF,University of Cincinnati,NCAA: Division 1,H,14,33,5,9,3,0,0,1,0,0.273,0.351,0.364,0.715,0,0,,0,0,0,0,0,,0,0
Dre Amaral,IF,Bossier Parish,JUCO: Division 1,A,4,9,6,5,0,0,1,3,1,0.556,0.6,0.889,1.489,0,0,0.0,0,0,0,0,0,0.0,0,0
Drew Howard,RHP,Chipola,JUCO: Division 1,A,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,3,31.2,4,1,8,24,19,2.27,0,37
Drew Nixon,INF,Valley City State University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Drizzt Maxwell,P,"University of Pittsburgh, Greensburg",NCAA: Division 3,P,0,0,0,0,0,0,0,0,0,,,,,4,0,3.1,0,1,5,0,3,13.5,0,4
Dryden Howse,INF,Barton,JUCO: Division 1,A,23,52,12,15,5,0,1,14,2,0.288,0.441,0.442,0.883,0,0,0.0,0,0,0,0,0,0.0,0,0
Duncan McLaughlin,RHP,Panola,JUCO: Division 1,A,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,6,31.0,4,1,21,44,10,6.1,0,21
Duncan Picketts,C,Marshalltown,JUCO: Division 1,A,12,25,4,3,0,1,1,4,0,0.12,0.313,0.32,0.633,0,0,0.0,0,0,0,0,0,0.0,0,0
Dustin Davidson,LHP,Allen County,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1.0,0,0,4,3,1,36.0,0,1
Dustin McElwain,OF,William Jessup University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Dylan Batista,RHP,Dawson,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.2,0,0,0,0,0,0.0,0,1
Dylan Bells,LHP,St. Mary's University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,8,6,23.2,1,3,21,36,12,7.99,0,23
Dylan Edmands,IF,Arizona Western,JUCO: Division 1,A,33,113,30,36,7,5,1,24,7,0.319,0.431,0.496,0.927,0,0,0.0,0,0,0,0,0,0.0,0,0
Dylan Howard,C,Western Nebraska,JUCO: Division 1,A,16,55,3,15,1,0,1,9,0,0.273,0.31,0.345,0.655,0,0,0.0,0,0,0,0,0,0.0,0,0
Dylan Johnson,C,Adrian College,NCAA: Division 3,H,11,47,10,14,1,2,0,4,0,0.298,0.306,0.404,0.71,0,0,,0,0,0,0,0,,0,0
Dylan Smith,INF,Mohawk Valley,JUCO: Division 3,A,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Eddy Savoie,INF,West Texas A&M University,NCAA: Division 2,H,30,121,52,47,14,2,3,38,0,0.388,0.49,0.612,1.102,0,0,,0,0,0,0,0,,0,0
Edwin Martinez,C,Genesee,JUCO: Division 3,A,1,3,2,2,1,0,0,2,0,0.667,0.75,1.0,1.75,0,0,0.0,0,0,0,0,0,0.0,0,0
Eli Saul,RHP,Sacramento State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,6,6,32.2,2,0,10,23,16,2.76,0,29
Elijah Haug,,Douglas,NW Athletic Conference,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Eliot Goulet,RHP/OF,Sussex County,JUCO: Division 2,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,11.1,1,2,9,16,7,7.15,0,7
Ellis Vugteveen,RHP,Three Rivers,JUCO: Division 1,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,0,10.2,1,1,13,12,5,10.97,0,14
Emile Boies,SS,Northeastern Oklahoma A&M,JUCO: Division 1,A,12,37,6,8,1,0,1,6,0,0.216,0.341,0.324,0.665,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Eric Chartier,IF,University of Charleston,NCAA: Division 2,H,10,19,9,7,2,0,0,3,5,0.368,0.556,0.474,1.03,0,0,,0,0,0,0,0,,0,0
Eric Foufoulas,C,Cloud County,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Eric Luchies,LHP/1B,Lower Columbia,NW Athletic Conference,A,17,56,7,14,2,0,0,14,2,0.25,0.371,0.286,0.657,0,0,0.0,0,0,0,0,0,0.0,0,0
Eric Murchison,UTL,West Valley College,California CC,A,9,1,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,8,6,28.2,2,2,14,31,12,4.4,0,29
Eric Pettipiece,LHP,Goshen College,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Ethan Balogh,1B/OF,Graceland University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Ethan Barclay,C,Cleary University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Ethan Boisvert,P/1B,West Virginia Wesleyan College,NCAA: Division 2,H,3,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Ethan Boisvert,P/1B,West Virginia Wesleyan College,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,3,1,6.0,0,1,9,13,1,13.5,0,1
Ethan Coady,INF/RHP,"University of Wisconsin, Superior",NCAA: Division 3,P,0,0,0,0,0,0,0,0,0,,,,,2,0,3.0,0,1,4,5,1,12.0,0,3
Ethan Coady,INF/RHP,"University of Wisconsin, Superior",NCAA: Division 3,H,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,,0,0
Ethan Francis,RHP,Northwestern State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,4,0,5.0,0,0,4,3,1,7.2,0,3
Ethan Hammond,OF,D'Youville College,NCAA: Division 2,H,15,54,12,20,6,1,0,12,1,0.37,0.444,0.519,0.963,0,0,,0,0,0,0,0,,0,0
Ethan Hunt,,Oklahoma Panhandle State University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Ethan McCarthy,C,Houghton College,NCAA: Division 3,H,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,,0,0
Ethan Murdoch,C/OF,McCook,JUCO: Division 1,A,32,101,29,30,6,0,10,32,1,0.297,0.421,0.653,1.074,0,0,0.0,0,0,0,0,0,0.0,0,0
Ethan Pollard,LHP,St. Clair County,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Ethan Sansaie-Edwards,OF/RHP,St. Clair County,JUCO: Division 2,A,2,4,1,0,0,0,0,0,0,0.0,0.333,0.0,0.333,0,0,0.0,0,0,0,0,0,0.0,0,0
Evan Chenier,RHP,Virginia Commonwealth University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,6,0,12.1,0,0,9,16,6,6.57,0,11
Evan Harrison,RHP,Gannon University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
Evan Hoegler,RHP,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Evan Magill,C,Tennessee Wesleyan University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Evan O'Toole,RHP/OF,Iowa Western,JUCO: Division 1,A,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,2,10.0,1,1,6,7,6,5.4,0,14
Evan Wilcox,RHP,Menlo College,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Evan Wilde,LHP,Niagara University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,6,6,35.0,1,4,27,41,29,6.94,0,36
Ewan Ferguson,C,Ventura College,California CC,A,6,8,2,0,0,0,0,2,1,0.0,0.273,0.0,0.273,0,0,0.0,0,0,0,0,0,0.0,0,0
Felix Chenier-Rondeau,OF,Oklahoma City University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Finn Kaczmarowski,RHP,Georgetown College,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Francesco Barbieri,OF,Ave Maria University,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Fynn Chester,RHP,"California State University, Fullerton",NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,10,2,20.1,0,0,6,21,4,2.66,0,11
Gabriel Archambault,RHP,Northeastern Oklahoma A&M,JUCO: Division 1,A,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,1,16.1,0,1,17,22,10,9.37,0,17
Gabriel Monterrey,INF,Roane State,JUCO: Division 1,A,22,59,7,21,2,1,0,11,2,0.356,0.406,0.424,0.83,0,0,0.0,0,0,0,0,0,0.0,0,0
Garner Spoljaric,RHP,Embry-Riddle Aeronautical University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,10,5,28.0,2,1,8,24,12,2.57,0,26
Garrett Goodall,RHP,Embry-Riddle Aeronautical University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,8,8,42.0,2,2,21,45,11,4.5,0,27
Garrett Nicholson,LHP,Minot State University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
Garrett Takamatsu,C/IF,University of Central Oklahoma,NCAA: Division 2,H,28,98,28,29,3,0,9,31,3,0.296,0.465,0.602,1.067,0,0,,0,0,0,0,0,,0,0
Garrett Thornton,RHP,Erie,JUCO: Division 3,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,5.1,0,0,0,3,1,0.0,0,5
Gavin Logan,C,Oregon State University,NCAA: Division 1,H,17,66,14,23,5,2,2,15,0,0.348,0.413,0.576,0.989,0,0,,0,0,0,0,0,,0,0
Gavin Pringle,RHP,Hawaii Pacific University,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
George Farid,IF,D'Youville College,NCAA: Division 2,H,15,58,13,16,2,1,2,12,0,0.276,0.333,0.448,0.781,0,0,,0,0,0,0,0,,0,0
Gibson Krzeminski,IF/OF,Canisius College,NCAA: Division 1,H,16,50,9,13,3,1,2,7,1,0.26,0.351,0.48,0.831,0,0,,0,0,0,0,0,,0,0
Giordano Mezzomo,LHP,Cloud County,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,14.2,3,1,6,10,5,3.68,0,32
Glenn Noronha,OF,West Texas A&M University,NCAA: Division 2,H,10,10,6,1,0,0,0,1,1,0.1,0.25,0.1,0.35,0,0,,0,0,0,0,0,,0,0
Graham Brunner,LHP,Illinois State University,NCAA: Division 1,H,2,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,0,0,,0,0
Graham Seltzer,RHP,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Grayden Stauffer,RHP,"University of Tennessee, Martin",NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,0,0,,,,0,0
Greg Ross,RHP,Howard (TX),JUCO: Division 1,A,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,7.0,1,1,3,7,0,3.86,0,8
Griffin Almond,RHP,Connors State,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Griffin Hassall,RHP,Kansas State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,8,3,25.1,3,3,10,22,5,3.55,0,24
Haden Dow,LHP,Cloud County,JUCO: Division 1,A,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,5,26.1,3,1,11,20,11,3.76,0,36
Harley Gollert,LHP,Austin Peay State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,6,6,36.0,1,3,19,30,14,4.75,0,39
Hayden Malenfant,RHP,Southeast Missouri State University,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,2,0,1.2,0,0,0,1,3,0.0,0,2
Hayden Wesseling,RHP,Monroe CC,JUCO: Division 2,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,10.2,2,0,5,13,3,4.22,0,8
